,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,19_00_voosh,distance_in_meters_from_voosh
39,39,A. A. Center,12.9486249,77.60591140000001,Apartments,"Adugodi, Bengaluru",1.5320240884062108,1.4606368204237887,8,457
40,40,Kenzo Enclave,12.9444739,77.6177055,Apartments,"Adugodi, Bengaluru",0.952387813947523,0.10572222880440617,2,117
41,41,Sudhir Residency,12.9410079,77.6077453,Apartments,"Adugodi, Bengaluru",0.7645358375899074,1.2086013460890173,8,503
42,42,Rani Residency,12.939498599999999,77.6088175,Apartments,"Adugodi, Bengaluru",0.5759919752602739,1.1576360765843734,10,594
43,43,Nithya Lakshmi,12.943186099999998,77.6122493,Apartments,"Adugodi, Bengaluru",0.7029672261379095,0.6813597444021454,4,235
44,44,Prestige St. John's Wood,12.930061199999999,77.6106751,Apartments,"Adugodi, Bengaluru",0.8258767009220049,1.7577586191795895,13,780
45,45,Lakshmi Venkateshwara Nilaya,12.944329199999999,77.6098298,Apartments,"Adugodi, Bengaluru",0.9074098299263972,0.9399077273487754,5,312
46,46,Salarpuria Sapphire,12.944253699999999,77.60766720000001,Apartments,"Adugodi, Bengaluru",1.0242141982213622,1.1737372014799183,8,495
47,47,Savita Mansion,12.9403826,77.6031313,Apartments,"Adugodi, Bengaluru",1.1816388387227448,1.7103203350320042,10,585
48,48,Sai Krupa Apartments,12.9375149,77.6123378,Apartments,"Adugodi, Bengaluru",0.1355347863878927,0.975105793719071,7,444
49,49,Rajeswari Nilaya,12.943033300000002,77.6069096,Apartments,"Adugodi, Bengaluru",0.9785599655905101,1.2590216893245205,7,427
50,50,NDRI SRF COLONY,12.9456603,77.60750279999999,Apartments,"Adugodi, Bengaluru",1.1616078527189022,1.2066984225685484,8,453
51,51,Shetty's residence,12.940947099999999,77.6038879,Apartments,"Adugodi, Bengaluru",1.127366183970326,1.6166634087919456,10,614
52,52,Krishna Apartment,12.9285032,77.61108259999999,Apartments,"Adugodi, Bengaluru",0.9766067935391983,1.8922173175406105,14,821
53,53,Robert Home,12.943516800000001,77.607295,Apartments,"Adugodi, Bengaluru",0.9876020109514322,1.2142536672600157,7,398
54,54,Dixit%E2%80%99s Apartmet,12.9402192,77.6173703,Apartments,"Adugodi, Bengaluru",0.556582956235129,0.42823799493509124,3,175
55,55,"F Block, Inside Adugodi Police Quaters",12.942457699999999,77.6128986,Apartments,"Adugodi, Bengaluru",0.6126568485061693,0.627395247767002,8,478
56,56,"%2354, Sri Nivasa",12.9403055,77.6086993,Apartments,"Adugodi, Bengaluru",0.6349961285581798,1.1345181812191127,8,502
57,57,Sri Laxmi Nivas,12.9404852,77.6082048,Apartments,"Adugodi, Bengaluru",0.6903455330258245,1.1781859548936475,8,482
58,58,My Home,12.943483800000001,77.6073078,Apartments,"Adugodi, Bengaluru",0.9839621838695571,1.2130059841771577,7,399
59,59,"A block, Inside Adugodi Police Quaters",12.9422784,77.6098442,Apartments,"Adugodi, Bengaluru",0.7079672097828187,0.954644029664555,8,489
60,60,Sri Lakshmi Venkatesha Nilaya,12.942135,77.6068113,Apartments,"Adugodi, Bengaluru",0.920988132104975,1.2812074098508819,8,474
61,61,Adugudi Police Quatres,12.9421763,77.6106432,Apartments,"Adugodi, Bengaluru",0.6539201036692119,0.8722358885868924,7,447
62,62,Soram Residency,12.9404025,77.607674,Apartments,"Adugodi, Bengaluru",0.7336910448432331,1.2356315097874035,9,523
63,63,Police QRS. ADUGODI,12.9397605,77.6120715,Apartments,"Adugodi, Bengaluru",0.3442989443460241,0.835030855826882,6,384
64,64,Amma's House,12.9443644,77.6094122,Apartments,"Adugodi, Bengaluru",0.9313734987213909,0.9853022343423583,5,312
65,65,"G Block, Inside Adugodi Police Quaters",12.9401179,77.6136537,Apartments,"Adugodi, Bengaluru",0.3500995912125429,0.6730109288045278,6,388
66,66,Lijo Varghese,12.942069400000001,77.60716670000001,Apartments,"Adugodi, Bengaluru",0.8865044888086958,1.2443479857586999,8,457
67,67,Shri Shanta Narayana Nilayam,12.9415016,77.6069026,Apartments,"Adugodi, Bengaluru",0.8707480403682073,1.2842651633919275,8,493
68,68,Srinivasa Complex,12.941862800000001,77.6081249,Apartments,"Adugodi, Bengaluru",0.7934430953235743,1.1463974144812772,8,452
69,69,Prakash ballari hvr,12.94487,77.6095,Apartments,"Adugodi, Bengaluru",0.9771124224299098,0.9803070015040592,6,338
70,70,AMC RESIDENCY,12.9446429,77.6076533,Apartments,"Adugodi, Bengaluru",1.0596379090593373,1.1774361538584415,8,481
71,71,CHIKKA POTHALAPPA NILAYA,12.9493644,77.6056664,Apartments,"Adugodi, Bengaluru",1.6158696014664395,1.516411302665691,8,473
72,72,Jordiie's Place,12.9403453,77.607679,Apartments,"Adugodi, Bengaluru",0.7299424390642542,1.2371417637530004,9,525
73,73,PHC house,12.9407982,77.6039689,Apartments,"Adugodi, Bengaluru",1.1128660534610675,1.6115471488650814,10,607
74,74,Sai Balaji Residency,12.9267832,77.6099718,Apartments,"Adugodi, Bengaluru",1.1946465334289476,2.116667819665863,15,891
75,75,Sipani classe 2,12.9405273,77.6190537,Apartments,"Adugodi, Bengaluru",0.7236087887024386,0.38123490666790066,3,200
76,76,Sri Venkateshwara Nilaya,12.9435282,77.60653470000001,Apartments,"Adugodi, Bengaluru",1.0459796846150953,1.296554250589389,7,421
77,77,Vinod Raj's Home,12.940044199999999,77.60806540000002,Apartments,"Adugodi, Bengaluru",0.6768574486563104,1.2090537352170843,8,496
78,78,Sapthagiri Apartments,12.927683,77.611051,Apartments,"Adugodi, Bengaluru",1.0656855795479787,1.9765739699066267,13,798
79,79,Koramangala,12.945122900000001,77.6171229,Apartments,"Adugodi, Bengaluru",0.9891787203534523,0.20039619237062528,2,136
80,80,Bhagu halesh bro,12.942733,77.61264200000001,Apartments,"Adugodi, Bengaluru",0.6463447947652727,0.6474170653532416,8,469
81,81,Sree Vatsa Nilaya Apartments,12.927306199999999,77.6113865,Apartments,"Adugodi, Bengaluru",1.0983473166518778,2.0006240600241725,13,796
82,82,Venkatarama Reddy. M Residence,12.9430851,77.608529,Apartments,"Adugodi, Bengaluru",0.8643174188906154,1.0836383629535558,6,368
83,83,Shanvi Apartment,12.9407744,77.6189205,Apartments,"Adugodi, Bengaluru",0.727168691937548,0.35194573611527163,3,192
84,84,Kishan Enclave,12.942947,77.6173935,Apartments,"Adugodi, Bengaluru",0.7891467498153532,0.16029177236486744,2,94
85,85,Planet Pride,12.9439807,77.6102407,Apartments,"Adugodi, Bengaluru",0.8535057054667277,0.8942659609410184,5,280
86,86,Yadav%E2%80%99s building,12.9446925,77.60719559999998,Apartments,"Adugodi, Bengaluru",1.094140991361727,1.2273008913531083,7,395
87,87,Salim Building,12.948908900000001,77.6047825,Apartments,"Adugodi, Bengaluru",1.6263487199936486,1.586223763851186,9,516
88,88,Lalithalaya Apartment,12.943257699999998,77.61860159999999,Apartments,"Adugodi, Bengaluru",0.8936525953385691,0.0737001121306164,2,117
89,89,John Vijay,12.9479075,77.61853459999999,Apartments,"Adugodi, Bengaluru",1.3342748305807708,0.44431459809793256,3,194
90,90,Manik%E2%80%99s Apartment,12.9426918,77.6178359,Apartments,"Adugodi, Bengaluru",0.7931287429935102,0.15319168895636506,2,107
91,91,Sobha Highland Hosur Bangalore,12.9415864,77.6072687,Apartments,"Adugodi, Bengaluru",0.8443790226611608,1.2434967638632002,8,478
92,92,1BHK Apartments,12.9322131,77.61095040000001,Apartments,"Adugodi, Bengaluru",0.5952306581820856,1.5363128306593548,14,818
93,93,Ajith sridhar,12.951584,77.60103199999999,Apartments,"Adugodi, Bengaluru",2.110082900245496,2.0755723606107837,11,685
94,94,Ashwin Apartment,12.942925500000001,77.6187182,Apartments,"Adugodi, Bengaluru",0.8732771244731544,0.11237926270426131,2,121
95,95,Comfort Sharada Apartment,12.9456996,77.5985749,Apartments,"Adugodi, Bengaluru",1.8822711650978752,2.1675778311533875,11,657
96,96,"45 , 1 - Nicky%E2%80%99s ",12.940358,77.607714,Apartments,"Adugodi, Bengaluru",0.7274193093975436,1.2330962514842443,9,524
97,97,KUMAR N APARTMENTS,12.942216400000001,77.61881020000001,Apartments,"Adugodi, Bengaluru",0.822164277194848,0.1916511080398525,2,140
98,98,Tavarekere Apartment,12.9278183,77.61005379999999,Apartments,"Adugodi, Bengaluru",1.0830098665871364,2.0096656838947045,14,825
99,99,Sri Sai PG,12.9362751,77.60878199999999,Apartments,"Adugodi, Bengaluru",0.5128128874955863,1.3522174832501719,12,747
100,100,Amma Nilaya,12.943304699999999,77.6189898,Apartments,"Adugodi, Bengaluru",0.9244483485042266,0.08639547259773601,1,82
101,101,Sathya Apartments,12.9335385,77.60811890000001,Apartments,"Adugodi, Bengaluru",0.693513903266044,1.6106863827834716,15,895
102,102,Vision Appartments,12.939925500000001,77.6163804,Apartments,"Adugodi, Bengaluru",0.45591288500213767,0.4988706300271076,4,220
103,103,Bs Sunshine Apartment,12.94402,77.6102613,Apartments,"Adugodi, Bengaluru",0.8565903809520292,0.8920817394450977,5,274
104,104,Home,12.950492,77.6098684,Apartments,"Adugodi, Bengaluru",1.5525672116222202,1.186913416093121,11,689
105,105,BH24 Blue Hills service apartment,12.9323027,77.6101949,Apartments,"Adugodi, Bengaluru",0.6285476026338692,1.5732065342353638,13,794
106,106,Sri Sai Krishna PG for Gents,12.94205,77.6078239,Apartments,"Adugodi, Bengaluru",0.8314978853954825,1.1745361208914014,8,479
107,107,Platina heights luxury apartments,12.9427164,77.6168269,Apartments,"Adugodi, Bengaluru",0.7353669928501109,0.22416067729920489,2,115
108,108,S 23 51 Laskar,12.938202699999998,77.60924709999999,Apartments,"Adugodi, Bengaluru",0.4764385935942107,1.1861116401696696,10,577
109,109,SHAHEEN AEJAZ APARTMENTS,12.944473599999998,77.5987875,Apartments,"Adugodi, Bengaluru",1.7953390304090526,2.1363227848931396,13,754
110,110,The Mayfair Apartments,12.939376600000001,77.6218297,Apartments,"Adugodi, Bengaluru",0.9456254859229044,0.6205829748017515,4,247
111,111,Building No. 2,12.940661,77.6175807,Apartments,"Adugodi, Bengaluru",0.6062088096801326,0.37474314135934406,3,157
112,112,Sree%26 Sonu's,12.9411694,77.5993109,Apartments,"Adugodi, Bengaluru",1.602628640718328,2.1009524483772712,11,661
113,113,"No.605, 11th Cross, 2nd Main, 2nd stage, Koramangala, Rajendra Nagar, Bangalore -560047",12.947502900000002,77.6168991,Apartments,"Adugodi, Bengaluru",1.228564802627533,0.43503399929780906,4,234
114,114,Aditya Residency,12.943596800000002,77.604016,Apartments,"Adugodi, Bengaluru",1.2607163907274948,1.569193765473802,9,542
115,115,SG Residency,12.9320507,77.6102724,Apartments,"Adugodi, Bengaluru",0.6473810886491914,1.5915636342450405,13,784
116,116,Insta Guest House - Koramangala,12.9355474,77.61300820000001,Apartments,"Adugodi, Bengaluru",0.1661039185882613,1.10376557975707,7,439
117,117,"Memphis Apartments,",12.9591886,77.60326450000001,Apartments,"Adugodi, Bengaluru",2.7058396663274427,2.3682673679197794,15,876
118,118,Apartment 6D,12.9366969,77.6163113,Apartments,"Adugodi, Bengaluru",0.310643531307017,0.8363678383488832,8,508
119,119,Sri Balaji Residency,12.9415955,77.6197312,Apartments,"Adugodi, Bengaluru",0.8520385501353527,0.2904586744989174,2,146
120,120,Citizen Tower Building,12.927937199999999,77.6099542,Apartments,"Adugodi, Bengaluru",1.0743581909425308,2.0028655752162416,14,826
121,121,%234,12.9417638,77.6204688,Apartments,"Adugodi, Bengaluru",0.92768776633429,0.32082299794437497,2,141
122,122,Pavan Apartments,12.926870599999999,77.6106647,Apartments,"Adugodi, Bengaluru",1.1636689196044878,2.0761298330791416,14,844
123,123,House,12.9367675,77.6158994,Apartments,"Adugodi, Bengaluru",0.2654662624079727,0.842657170367834,8,496
124,124,SpringHeights @ Koramangala,12.9394724,77.6181926,Apartments,"Adugodi, Bengaluru",0.583315390700992,0.4947185475095344,4,215
125,125,Building 600,12.943343400000002,77.6198777,Apartments,"Adugodi, Bengaluru",0.9926153056860652,0.16289090306145323,2,118
126,126,Ramya reddy,12.9442235,77.6090593,Apartments,"Adugodi, Bengaluru",0.9364634231070287,1.0228475735191442,5,308
127,127,"Opposite sri hari hara pg, Blue colour paint apartment",12.9364531,77.60892890000001,Apartments,"Adugodi, Bengaluru",0.4943704555375982,1.3274095119072884,11,674
128,128,Sankar Residency,12.9379394,77.619807,Apartments,"Adugodi, Bengaluru",0.6962422757331905,0.6792213666139918,5,296
129,129,NPR apartment,12.927048300000001,77.6086532,Apartments,"Adugodi, Bengaluru",1.2205216382147674,2.1571263016128683,14,868
130,130,Adarsh Vihar Apartment,12.9304459,77.60108120000001,Apartments,"Adugodi, Bengaluru",1.5253096288503871,2.408825603812902,13,786
131,131,Iman service apartments,12.935215600000001,77.6199608,Apartments,"Adugodi, Bengaluru",0.7312659419640977,0.9799921950853369,6,367
132,132,Raj Elite,12.9421528,77.6069531,Apartments,"Adugodi, Bengaluru",0.9102683702046781,1.2657191664747547,8,470
133,133,Apartment complex,12.9253431,77.6064458,Apartments,"Adugodi, Bengaluru",1.5002140873315846,2.4428771720104945,17,1038
134,134,Vinay paying guest,12.9409359,77.6025867,Apartments,"Adugodi, Bengaluru",1.2578841540926822,1.7551817533923992,9,563
135,135,Saicharan Apartments,12.935842999999998,77.62671,Apartments,"Adugodi, Bengaluru",1.4415437242187643,1.2641561632613088,8,460
136,136,Zwolf Residency,12.9431934,77.6198778,Apartments,"Adugodi, Bengaluru",0.9807939392783468,0.17006954677789762,2,114
137,137,Sashikala Apartments,12.9410804,77.62603969999999,Apartments,"Adugodi, Bengaluru",1.4377717753409154,0.8764098658980786,5,329
138,138,Vishnupada Apartments,12.9330761,77.6273024,Apartments,"Adugodi, Bengaluru",1.5616340053733588,1.5373076752827264,8,484
139,139,Fortune towers,12.9440926,77.6077521,Apartments,"Adugodi, Bengaluru",1.0044271926123294,1.1640949261069862,6,363
140,140,%23373,12.935044900000001,77.6197947,Apartments,"Adugodi, Bengaluru",0.7193710802817651,0.9960164608227288,6,371
141,141,Home,12.9411733,77.6213028,Apartments,"Adugodi, Bengaluru",0.9697824047267346,0.43068631092602266,3,169
142,142,Stag Aditya Apartments koramangala,12.940163400000001,77.6279,Apartments,"Adugodi, Bengaluru",1.604640367535678,1.1014199368688844,7,400
143,143,Saniya Residency,12.9281277,77.60664399999999,Apartments,"Adugodi, Bengaluru",1.2301806245752311,2.1746819472580743,16,961
144,144,Alcove Service Apartments,12.9285724,77.6318027,Apartments,"Adugodi, Bengaluru",2.1965969844028925,2.233846729633599,12,701
145,145,D'Habitat Serviced Apartments in Bangalore Koramangala,12.940108500000001,77.62469820000001,Apartments,"Adugodi, Bengaluru",1.2668559576954859,0.79445003596736,5,323
146,146,470 Koramangala,12.9340963,77.6197447,Apartments,"Adugodi, Bengaluru",0.7526545004700097,1.09985161461845,6,387
147,147,Monarch Residency,12.929787800000001,77.60806090000001,Apartments,"Adugodi, Bengaluru",0.9904365282507648,1.9350896996449107,14,852
148,148,Padmashree Apartment,12.9368791,77.6243412,Apartments,"Adugodi, Bengaluru",1.179368995768905,1.0066272300507648,6,371
149,149,AshaDeepa Apartments,12.942423,77.63033100000001,Apartments,"Adugodi, Bengaluru",1.926169238799556,1.2935862348749652,8,470
150,150,Vishnupriya Arcade,12.936761500000001,77.6204735,Apartments,"Adugodi, Bengaluru",0.7605390141373458,0.8235657498346293,5,292
151,151,Vrishadri Apartments,12.931699499999999,77.6351936,Apartments,"Adugodi, Bengaluru",2.4273978517043884,2.2627325500784,12,736
152,152,Bala Apartments,12.940905099999998,77.6262937,Apartments,"Adugodi, Bengaluru",1.4579397813087658,0.9091391516442338,5,320
153,153,Premium Serviced Apartments,12.9387767,77.6237957,Apartments,"Adugodi, Bengaluru",1.1379709481910296,0.8101586628432601,5,320
154,154,A.M. Apartments,12.9317754,77.5988891,Apartments,"Adugodi, Bengaluru",1.6815334081066906,2.5168439893241503,15,879
155,155,Del Prado Apartment,12.9364957,77.6297788,Apartments,"Adugodi, Bengaluru",1.769412211771439,1.475148694729093,10,590
156,156,Ram Reddy Building,12.942657,77.6078494,Apartments,"Adugodi, Bengaluru",0.8767848471712772,1.1617906679280119,8,476
157,157,Apartment-1 BHK,12.9235963,77.6162818,Apartments,"Adugodi, Bengaluru",1.5187836555801895,2.271662809462151,17,994
158,158,New Apartments,12.9243385,77.61314990000001,Apartments,"Adugodi, Bengaluru",1.4055272911389731,2.2521610857116965,17,992
159,159,Apartment,12.928977,77.5977103,Apartments,"Adugodi, Bengaluru",1.9245767637401123,2.7982772641587585,16,960
160,160,Phoenix Palms Apartments,12.9401825,77.6262074,Apartments,"Adugodi, Bengaluru",1.4268481376276083,0.9332708144821833,5,306
161,161,Canterbury Apartments,12.9617285,77.6027512,Apartments,"Adugodi, Bengaluru",2.987057499148899,2.6143077795187275,15,910
162,162,Sharu home,12.9359602,77.6232687,Apartments,"Adugodi, Bengaluru",1.0690660764960436,1.0245564890990975,6,376
163,163,Raheja Residency,12.9287326,77.6318844,Apartments,"Adugodi, Bengaluru",2.1971225971556403,2.226037094978571,12,702
164,164,%2369 Apartment,12.92958,77.6075978,Apartments,"Adugodi, Bengaluru",1.03907320678018,1.983349943127984,15,885
165,165,House,12.934912800000001,77.61968309999999,Apartments,"Adugodi, Bengaluru",0.7124283094388142,1.0089412910360616,7,396
166,166,Apartment,12.9166918,77.63741759999999,Apartments,"Adugodi, Bengaluru",3.439318667503592,3.656210953615891,18,1067
167,167,R%26J Apartments,12.9454924,77.6277912,Apartments,"Adugodi, Bengaluru",1.8191565001858812,1.0229140602397533,9,561
168,168,Euphoria Appartments,12.9403636,77.6284064,Apartments,"Adugodi, Bengaluru",1.6631090487013471,1.144540506523409,6,369
169,169,Siri Apartments,12.9363985,77.63089649999999,Apartments,"Adugodi, Bengaluru",1.8908249265646662,1.5827138935400906,10,591
170,170,10%2FA,12.935180599999999,77.6334,Apartments,"Adugodi, Bengaluru",2.170246628790723,1.8848431229693101,11,663
171,171,AD Apartments,12.931838,77.6353108,Apartments,"Adugodi, Bengaluru",2.436066950898545,2.2637371293599053,12,737
172,172,Sunshine Apartment Kormangala,12.928185800000001,77.63833709999999,Apartments,"Adugodi, Bengaluru",2.8678109099125124,2.7718293300766175,14,844
173,173,Apartment,12.9639061,77.6137837,Apartments,"Adugodi, Bengaluru",2.9948012815281557,2.28106004161771,11,642
174,174,LVR Residency Block 2,12.9281313,77.63831809999999,Apartments,"Adugodi, Bengaluru",2.8679477149957004,2.7740615386635095,14,843
175,175,Sobha Morzaria Grandeur,12.9339549,77.601799,Apartments,"Adugodi, Bengaluru",1.3075088099873466,2.121000193595592,12,708
176,176,Arpitha Apartment A Block,12.927311099999999,77.638215,Apartments,"Adugodi, Bengaluru",2.8901142547063317,2.8241691941163083,13,803
177,177,Housewise.in - Rental Property Management Company in Bengaluru,12.933300099999999,77.612155,Apartments,"Adugodi, Bengaluru",0.4323917497925433,1.365299059796252,9,540
178,178,Baik Apartament,12.9405949,77.6263386,Apartments,"Adugodi, Bengaluru",1.4526506315620766,0.9268443331118501,5,302
179,179,Modern Apartment,12.9195353,77.6040765,Apartments,"Adugodi, Bengaluru",2.1896495060796437,3.12857366868293,22,1303
180,180,St Mary's Executive PG Accommodation,12.936707400000001,77.6085473,Apartments,"Adugodi, Bengaluru",0.5331375823281693,1.342884981943779,12,718
181,181,Goodwill Apartments,12.9357103,77.6233417,Apartments,"Adugodi, Bengaluru",1.0801993617080712,1.052558755600724,6,380
182,182,Bharathi Accomodation,12.9431106,77.6076911,Apartments,"Adugodi, Bengaluru",0.9253005640844536,1.1739206074159492,8,477
183,183,The Emerald Suite - A Self-Serviced Residence by Host- Right,12.933057000000002,77.6321801,Apartments,"Adugodi, Bengaluru",2.07510911160933,1.9123916295379202,10,599
184,184,Anand .m residency,12.9285903,77.6375281,Apartments,"Adugodi, Bengaluru",2.7700817762722787,2.6755053199905676,13,794
185,185,Apartments madiwala,12.9213762,77.6141923,Apartments,"Adugodi, Bengaluru",1.7363400599165941,2.548824213557996,17,1007
186,186,1%2F2 Bedroom for Bachelors,12.9337731,77.6097859,Apartments,"Adugodi, Bengaluru",0.5340741773749114,1.4701231657212728,14,816
187,188,"Adi Nilaya, bldg %236",12.935269300000002,77.6337671,Apartments,"Adugodi, Bengaluru",2.2089957393955353,1.9140807659060317,11,658
188,189,KMT PG For Ladies,12.9366711,77.6086553,Apartments,"Adugodi, Bengaluru",0.5216980189997508,1.3359387008191193,12,722
189,190,BAK Comfort Manner,12.937208300000002,77.6121191,Apartments,"Adugodi, Bengaluru",0.1475172493917784,1.0162050129673577,8,473
190,191,Shanti Rooms %26 PG Accomodation,12.940427699999999,77.602785,Apartments,"Adugodi, Bengaluru",1.2188160525178753,1.7457489998186904,10,573
191,192,Shree Ganesh PG Accomdation for ladies,12.936112800000002,77.6091779,Apartments,"Adugodi, Bengaluru",0.4737707646395103,1.3307932728337566,13,765
192,193,Trinayan residency,12.924169000000001,77.636979,Apartments,"Adugodi, Bengaluru",2.9197586285184776,2.972081938500718,17,1035
193,194,Bangalore Apartments,12.9331097,77.587663,Apartments,"Adugodi, Bengaluru",2.8284613400300693,3.5503979508120254,19,1115
194,195,54 3bhk,12.932208300000001,77.6354724,Apartments,"Adugodi, Bengaluru",2.443833664508069,2.2538370912594226,12,742
195,196,Trusted Stay Service Apartments in Bangalore,12.9298227,77.6302364,Apartments,"Adugodi, Bengaluru",1.984555816983031,2.0184719555925033,10,573
196,197,Olive Service Apartments Koramangala,12.9280031,77.62851459999999,Apartments,"Adugodi, Bengaluru",1.912462592303224,2.0758091138624684,10,623
197,198,Girl's p.g Adugodi.,12.939817800000002,77.6075626,Apartments,"Adugodi, Bengaluru",0.7129219356622575,1.2689407416694891,9,548
198,199,Lakshmi Narasimha PG for men.,12.942560400000001,77.6075667,Apartments,"Adugodi, Bengaluru",0.8907765440119118,1.1935158338571963,8,474
199,200,"Ruby Corporate Service Apartments, Koramangala",12.939864,77.628854,Apartments,"Adugodi, Bengaluru",1.6990184745173298,1.209744267208899,7,395
