index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh
42,Durga Saffron Square Apartments,12.9302466,77.684759,Apartments,"Bellandur, Bengaluru",9.731039353309631,1.7365458885690546,12,13,800
43,VijayaSri Golden Orchid,12.926942,77.6864228,Apartments,"Bellandur, Bengaluru",9.420925229726567,1.4904042203175236,7,8,464
44,Sai Sunrise Apartment,12.9268226,77.6719833,Apartments,"Bellandur, Bengaluru",9.117400055003156,3.0521575497415507,16,17,1042
45,SV Residency,12.9261561,77.6696702,Apartments,"Bellandur, Bengaluru",9.02112847223452,3.3010423879169792,14,16,957
46,Mana Carnations Apartments,12.9261402,77.6717787,Apartments,"Bellandur, Bengaluru",9.039652965674902,3.072523338358203,16,17,1026
47,Vista Lagos Apartments,12.9443608,77.6796624,Apartments,"Bellandur, Bengaluru",11.160480831503413,3.0275686014886833,14,14,853
48,Infra Sirenish Apartment,12.9278693,77.6719997,Apartments,"Bellandur, Bengaluru",9.233358736066645,3.0568146884046143,16,18,1066
49,MAK Park View Apartments,12.9262462,77.6712504,Apartments,"Bellandur, Bengaluru",9.045764629224802,3.129928376620979,15,17,1020
50,Sai Sunshine Apartment,12.9279016,77.671416,Apartments,"Bellandur, Bengaluru",9.230709420367162,3.1201663379441587,16,18,1079
51,Mirage apartment,12.928341,77.6707856,Apartments,"Bellandur, Bengaluru",9.273144242443607,3.192209300126698,17,19,1114
52,Athmiya Residency,12.9243292,77.6746305,Apartments,"Bellandur, Bengaluru",8.87669087980066,2.768275947846275,11,12,737
53,Haryana Goyal %26 Sons,12.9315164,77.6786494,Apartments,"Bellandur, Bengaluru",9.733636284351768,2.4121258688699503,11,12,703
54,Sai Sarovar Apartments,12.9264984,77.6701534,Apartments,"Bellandur, Bengaluru",9.063204167346758,3.2493277948100956,14,17,990
55,Hampton Court Apartment,12.925638,77.677937,Apartments,"Bellandur, Bengaluru",9.076467905800607,2.404998665024695,9,10,609
56,Pearl Drop,12.9229225,77.6739098,Apartments,"Bellandur, Bengaluru",8.711168265500675,2.859670422733056,10,12,729
57,Sri Hari Residency,12.9210429,77.6758103,Apartments,"Bellandur, Bengaluru",8.534252178548826,2.6885607963842917,10,12,729
58,Sobha Quartz,12.9247345,77.6694838,Apartments,"Bellandur, Bengaluru",8.861977543570744,3.323268971163254,13,15,927
59,Friends Enclave,12.9244315,77.6748436,Apartments,"Bellandur, Bengaluru",8.891170278919958,2.7445558426624714,11,12,743
60,Sri Dakshayani Apartments,12.9487179,77.6851732,Apartments,"Bellandur, Bengaluru",11.744782742501279,3.0175210405258985,17,18,1055
61,Mana Callista Apartment,12.9230296,77.6727843,Apartments,"Bellandur, Bengaluru",8.707774663977442,2.9796344469416174,11,13,752
62,Om Shakthi Apartment,12.9279206,77.6703438,Apartments,"Bellandur, Bengaluru",9.222505572726877,3.23621259152681,17,19,1126
63,Sonestaa iWoods,12.9295644,77.6743329,Apartments,"Bellandur, Bengaluru",9.449464497595702,2.826218347549824,13,14,813
64,SVN APARTMENTS,12.9365024,77.6851584,Apartments,"Bellandur, Bengaluru",10.417611374199513,2.0101915701063793,11,12,724
65,Paras Meadows,12.9266471,77.6695502,Apartments,"Bellandur, Bengaluru",9.074591812879945,3.3150969564945316,14,16,970
66,Sri Nilaya Apartments,12.926499,77.674148,Apartments,"Bellandur, Bengaluru",9.108833601227198,2.816537634324536,12,13,786
67,Sujatha Residency,12.922034,77.6645671,Apartments,"Bellandur, Bengaluru",8.537609348433776,3.8769348466245876,13,15,888
68,Surya Chandra Apartment,12.9238904,77.6738908,Apartments,"Bellandur, Bengaluru",8.817600781323934,2.851572551457914,10,12,695
69,Silver Spring Apartment,12.9283111,77.6709352,Apartments,"Bellandur, Bengaluru",9.271259912934367,3.175767971356627,17,19,1111
70,Santhosai Apartment,12.9255927,77.6720101,Apartments,"Bellandur, Bengaluru",8.981681941909837,3.0473610387237744,16,17,1036
71,"Mayflower N Block, Adarsh Palm Retreat",12.9178596,77.6916752,Apartments,"Bellandur, Bengaluru",8.63734342866188,1.2743067872684855,14,14,855
72,Oceanus Triton,12.9189814,77.6754551,Apartments,"Bellandur, Bengaluru",8.301819603554835,2.780145951545159,13,14,851
