,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh,13_30_voosh
37,3576,Five star odia pg for gents,12.947878,77.7038876,PG,"Carmelaram, Bengaluru",0.4083327899859629,1.5784419218767838,,,772,13
38,3592,Suyash PG,12.9520119,77.6974223,PG,"Carmelaram, Bengaluru",0.6913628309980963,1.9541781640808369,,,692,12
39,3593,Pg for boys,12.9502831,77.7020503,PG,"Carmelaram, Bengaluru",0.4565808147135951,1.5765234345680517,,,717,12
40,3605,Nandini pg for ladies,12.9502143,77.7014531,PG,"Carmelaram, Bengaluru",0.42781078358232894,1.6361874665609473,,,660,11
41,3606,Akshaya PG For Ladies,12.949562,77.7018484,PG,"Carmelaram, Bengaluru",0.37443581471466564,1.6375149483479297,,,659,11
42,3607,Zolo Pepper - PG in Marathahalli Bangalore,12.9571713,77.7096945,PG,"Carmelaram, Bengaluru",1.556304144007207,0.5258649732243398,,,686,11
43,3610,Ram pg for gents,12.9514904,77.7019242,PG,"Carmelaram, Bengaluru",0.5783136273279333,1.5241507462325559,,,604,10
44,3613,Lighthouse PG (For Gents),12.9510196,77.7029956,PG,"Carmelaram, Bengaluru",0.5755359596570095,1.4466656445988044,,,661,11
45,3614,Sithaara Stays ( PG for Ladies),12.9577771,77.7026107,PG,"Carmelaram, Bengaluru",1.2758664403044069,1.2918236058336008,,,734,12
46,3615,SAI THANMAYEE PG FOR GENTS..,12.9518572,77.7035315,PG,"Carmelaram, Bengaluru",0.6852014547935017,1.3505677778307634,,,607,10
47,3616,LOTUS LUXURY PG FOR GENTS,12.9518441,77.7039764,PG,"Carmelaram, Bengaluru",0.7091597025330854,1.308926479322601,,,592,10
48,3620,Zolo Elements PG,12.965503,77.721947,PG,"Carmelaram, Bengaluru",3.1491465496284077,1.1933505507515119,,,352,6
49,3621,PG For Gents,12.9589914,77.6999564,PG,"Carmelaram, Bengaluru",1.3888182052618279,1.5871333495813402,,,717,12
50,3640,"Spice Garden, Bangalore",12.9577917,77.7093143,PG,"Carmelaram, Bengaluru",1.5839970065155355,0.5657294106789279,,,659,11
51,3980,Sobha Dream Acres - Flats for Sale in Bangalore,12.9382954,77.7262934,Apartment,"Electronic City, Bengaluru",2.9518444478464856,2.4936980867608844,,,806,13
